course_code,course_name
MODL5113,Interpreting Certification Preparation
MARK4210,Business Research Methods in Marketing
SWCH9018,Male Fertility
ZEIT8030,Big Data and Decision Analytics for Security
ARTS3576,The Making of Modern Spain
MARK5828,Advertising Analytics
ZBUS8303,Strategic Procurement and Outsourcing
MSCI3001,Physical Oceanography
FINS3640,Investment Management Modeling
FOOD9100,Advanced Processing Technologies
ZPEM2509,Astrophysics
MUSC3804,Educating the Musical Novice
BIOM9333,Cellular and Tissue Engineering
DART2212,Rigging for Animation
ZEIT8305,Systems Thinking and Modelling
ARTS4921,Sociology and Anthropology Honours
MDIA2002,Opinion Journalism
ARTS3660,Korean 5
ARTS3295,"Understanding Nazi Germany: Origins, Structures, Explanation"
ZPEM2506,Physics 2A: Meteorology and Atmospheric Physics
EDST6955,Chemistry Method 2
ENGG0360,Communicating in Engineering
MDIA3000,Advertising in Action
PSYC2001,Research Methods 2
PHYS3111,Quantum Mechanics
MDIA5006,News and Feature Writing
ZPEM1503,Engineering Physics 1A
TABL2751,Introduction to Tax Law
COMM8101,Statistical Methods for Business Research
EDST6956,Biology Method 2
TABL3755,Advanced Tax Law
COMM5030,Social Entrepreneurship Practicum (F2F & Online)
BLDG1011,Low Rise Building Construction
ARTS2482,French Cinema and Society
ARTS3270,Reflecting on History and Historians
LAWS3445,Women and Gender Law ILS Pune
TELE4653,Digital Modulation and Coding
ARTS3040,Writing After Empire
ZEIT8413,Simulation Applications
JURD7336,Theories of Law and Justice
PSYC7421,Professional and Ethical Practice (Forensic) 5
EDST6778,Extension Visual Arts Method 2
ENGG9741,Introduction to Nuclear Engineering
REST0001,Property Performance Analysis
PHCM9381,Policy Studies
DART3341,Writing as Practice
ZBUS3310,Emotion at Work
LAWS1052,Introducing Law and Justice
DART9101,Motion Capture Studio
MUSC4101,Critical Investigations in Music
SOLA1070,Sustainable Energy
ZPEM3202,Cultural Geography
CVEN2303,Structural Analysis and Modelling
PHYS1241,Higher Physics 1B (Special)
IEST6912,Living Cities: Promises & Risks of Urban Environments
CVEN4103,Engineering Contracts
ECON3124,Behavioural Economics
IDES3331,Industrial Design Studio 3A: Integrated Product Design
GENS5013,Workplace Safety
TABL5582,Taxation of Commercial Structures
CHEM2041,Analytical Chemistry: Essential Methods
LAWS8066,Climate Law
PHAR3306,Pharmacology for Optometry
COMP1521,Computer Systems Fundamentals
SOLA4953,Research Thesis C
ARTS3450,Chinese 5
ACCT5936,CPA Financial Reporting
ARTS2383,Ethics: Theory and Practice
ECON5323,Organisational Economics
JURD7841,Pacific Islands Laws (USP)
MGMT5912,Negotiating in Global Context
DART2101,Studio Art Practice 4
ZEIT4504,Electrical and Mechanical Plant
MDIA2013,Making Virtual Reality Documentaries
MARK5814,Digital Marketing
DART1340,Contexts for Art
BLDG3011,Organisational & People Management in Construction
ARCH1162,Construction and Structures 1
ZPEM3311,Mathematical Methods for Differential Equations
FINS5590,Finance Research in Practice
PTRL5010,Natural Gas Engineering
ZEIT4151,Machine Learning
BINF9020,Computational Bioinformatics
ACTL3202,Industry Placement 2
PLAN1003,"Urban Society, History, Theory"
AVIA5035,"Airport Economics, Management and Policy"
ZPEM2310,Engineering Mathematics 2B
ARTS2662,Korea at a Glance
ARTS5505,Personalised English Language Enhancement
PTRL4020,Natural Gas Engineering
JURD7670,Transnational Legal Studies A
LAWS3434,Research Thesis: Extended
ARTS1064,Screen Production I
LAWS8989,World Trade Law: Contemporary Issues and Concerns
LAWS2371,Resolving Civil Disputes
ZEIT4502,Aircraft and Systems Design 2
ELEC9725,"Satellite Navigation: Systems, Signals & Receivers"
MDIA5004,Media Relations
ARTS2630,Japanese 3
ELEC2141,Digital Circuit Design
ZEIT3503,Aerodynamics
IEST7500,Environmental Technologies: Challenges & Opportunities
GMAT3100,Surveying Applications and Design
PSYC2061,Social and Developmental Psychology
JURD7399,"Funds Management, Superannuation and Insurance"
COMP9336,Mobile Data Networking
CRIM1010,Criminology: An Introduction
ECON5248,Business Forecasting
CVEN4701,Planning Sustainable Infrastructure
LAWS3401,Health and Medical Law
JURD7431,Legal Theory
LAND2142,Landscape Architecture Communication 2
ELEC4604,RF Circuit Design - Theory and Applications
CRIM1011,Introduction to Criminal Justice
MATH3871,Bayesian Inference and Computation
ARTS2785,"Europe's Age of Catastrophe, 1914-1945"
ACTL5305,Actuarial Data Science Applications
MINE8130,Technology Management and Innovation in Mining
CEIC6714,Hydrogen Systems Engineering and Economics
RISK5005,Climate Change and Business Risk Management
SOCW2003,Introduction to Social Work Counselling and Assessment
DART3321,Affect in Art
ELEC9719,Real-Time Digital Simulations
MBAE7504,Executive Leadership Immersion (Residential)
ARTS2022,"Writing, Publishing, and Literary Culture"
MATS3006,Design and Application of Materials in Science and Engineering 3
LAWS3084,International Trade Law: The Law and Policy of the WTO
PSYC1030,"Quokkas, Crows and Clever Hans: An Introduction to Comparative Psychology"
LAWS3533,"Big Tech, AI and the Law"
PHYS4142,Statistical Physics (Honours)
ARTS2813,International Security: Dilemmas and Debates in Contemporary Global Politics
CLIM1001,Introduction to Climate Change
OPTM3105,Disease Processes of the Eye 1
DART3100,Studio Art Practice 5
COMM5205,Leading Change for Sustainability
SWCH9006,Laboratory Aspects of ART
ZBUS8149,Finance for Decision- Making
JURD7782,Peaceful Settlement of International Disputes
ARTS1450,Chinese 1 for Non- Background Speakers
MGMT2718,Human Resource Management
SWCH9002,Contraception
DIET2001,Nutrition for Health Professionals 1
REST0005,Property Valuation
ELEC9773,Electrical Engineering Capstone Project
CVEN4308,Structural Dynamics
MDIA3008,Issues and Crisis Communication
JURD7412,Discrimination and the Law
ENGG1811,Computing for Engineers
ECON3206,Financial Econometrics
AVIA3101,Airline Management
MNGT5585,Individual Study in Management
COMP4951,Research Thesis A
MERE9453,Masters Project C
JURD7283,Land Law
VISN5531,Development and Ageing: Implications for Orientation and Mobility
PHYS1110,Everyday Physics
MICR2011,Microbiology 1
ATSI3017,Indigenous Histories and the Colonial World
GMAT2500,Surveying Computations A
GENE1500,Creative Entrepreneurship
SOMS3199,SOMS Work Placement 1
MODL5116,Advanced Conference Interpreting
ELEC4613,Electrical Drive Systems
JURD7434,Research Thesis: Extended
PHYS2116,Stellar and Planetary Physics
CRIM3012,Violence and Victimisation
PTRL5016,Well Completions and Stimulation
OPTM3233,Working in Clinical Contexts
PHCM9331,Ethics and Law in Public Health
BIOM9640,Biomedical instrumentation
ACTL5103,Stochastic Modelling for Actuaries
BIOM9660,Bionics and Neuromodulation
LAWS3350,"Sport, Law and Society in Australia"
FINS4774,Empirical Asset Pricing
MDIA1091,"Media, Society, Politics"
SOCW4013,Child and Family Welfare Practice
LAWS8099,"Funds Management, Superannuation and Insurance"
SWCH9003,Clinical Reproductive Endocrinology
AERO9660,Advanced Aerospace Propulsion
BEIL0011,Healthy Planning
TABL5537,Tax Treaties and Multilateral Obligations
INST2006,The World in Transition
ZPEM2207,Social Geography
LAWS3901,Honours Research Thesis
IDES2321,Industrial Design Studio 2A: Production at Scale
AVIA5008,Air Traffic Management
JURD7475,"Gender, Race and Justice"
PSYC5111,Evaluating Evidence
BENV7501,Urban Data Visualisation
MATS3003,Engineering in Process Metallurgy
MSCI6681,Topics in Australian Marine Science
ARTS1361,"Mind, Ethics, and Freedom: Introduction to Philosophy"
PHAR3102,Molecular Pharmacology
ZEIT8213,Communications and Information Systems
MDIA3010,"Professional Media Practices: Creating, Publishing and Publicising Digital Journalism"
OPTM8523,Clinical Ocular Therapy 5B
JURD7304,Kingsford Legal Centre Community Law Clinic (Non- intensive)
MECH4620,Computational Fluid Dynamics
LAND7311,Advanced Landscape Theory and Research
MMAN9002,Master of Engineering Science Project B
ENTR9001,Identifying Opportunities
INTA2411,Dissertation
TABL5805,Research Methods in Taxation and Business Law
PTRL6021,Reservoir Characterisation
ARCH7219,Graduation Exhibition Design
PTRL3015,Well Drilling Equipment and Operations
PLAN7156,Housing Policy and Finance
BLDG2012,Construction & Property Law
ARTS2374,Ways of Reasoning
COMP1531,Software Engineering Fundamentals
ECON5321,Industrial Organisation
LAWS8991,International Criminal Law
LAWS8135,Chinese Legal System (SJTU)
LAWS8017,Intellectual Property Law
CHEM1151,Introductory Medicinal Chemistry
EDST6741,Japanese Method 2
PHYS4143,Topics in Contemporary Physics
PSYC3299,Psychology Work Placement 2
HUMS1010,Experiencing the Sydney Opera House
MATH3161,Optimization
ANAT1452,Functional Anatomy and Biomechanics 2
BABS1112,Genetics and Society
BEIL0001,Graphic Design for the Built Environment
FINS5545,Financial Market Data Literacy
ARTS2845,"Sex, Human Rights and Justice"
ARTS3633,Japanese 8
ECON7205,Microeconometrics
ARCH1261,Construction and Structures 2
MARK5812,"Distribution, Retail Channels and Logistics"
ELEC9782,Special Topics in Electrical Engineering 2
MECH9761,Automobile Engine Technology
LAWS3123,Chinese Legal System (SJTU)
LAND2311,Landscape Studio 5: Site Planning - Landscape Systems and Performance
COMP1911,Computing 1A
DDES1023,Object as Activist: Furniture and Lighting Design
PHCM9795,Foundations of Biostatistics
PSYC3121,Social Psychology
COMP6771,Advanced C++ Programming
ZZCA9222,Cyber Threats and Crime
EDST5458,Researching Special Education
ARTS4927,Global Development Honours
ENGG9744,"Nuclear Safety, Security and Safeguards"
ARTS3510,German 5
ZEIT3603,Design of Steel and Timber Structures
FINS5576,Asset Pricing Theory
ARTS3062,Cinematic Thinking
MGMT2721,Managing People
PSYC1028,Psychology of Human Centred Design
MDIA5010,Literary and Narrative Journalism Practice
MERE2001,Sedimentary and Energy Resources Geology
PSYC5114,Learning and Cognition
LAWS8078,Mediation in Practice
ZEIT8402,Evidence- based Decision Making
ZEIT3507,Applied Thermodynamics and Propulsion
INTA2001,Interior Architecture Technics 1
LAWS2150,Federal Constitutional Law
MUSC1803,Music Craft 3
MINE3310,Mining Geomechanics
ZZCA9211,Digital Forensics
MUSC3706,Performance Laboratory C (Creative Practice/ Music Pedagogy)
COMP4141,Theory of Computation
DDES9905,"Immersive Design, Complexity and Wicked Problems"
COMM1100,Business Decision Making
POLS5121,International Organisations and Global Politics
LAWS3427,Drug Law and Policy
MATH3811,Statistical Inference
ACCT2562,ESG: Current Developments for Sustainable Business
ZEIT2700,Mechanics of Machines
LAWS8241,Pacific Islands Laws (USP)
CONS0002,Management of Construction Organisations
ZZCA9202,Data Security and Privacy
DDES1130,Experience 1: Spaces and Senses
AVIA4004,Aviation Honours - Part Time
ARTS4922,Sociology and Anthropology Honours
PLTX1240,Employment and Industrial Relations Practice
JURD7480,Principled (Interest Based) Negotiation
ZEIT8241,Requirements Practice Project
POLS5129,The Foreign Policies of the Great Powers
LAWS3303,Kingsford Legal Centre Community Law Clinic (Intensive)
POLS5131,"Political Violence, Insurgency and Terrorism"
PSYC7419,Professional and Ethical Practice (Forensic) 3
DDES9902,Human Dimensions in Immersive Environments
COMM3202,Industry Experience Placement 2
ELEC4122,Strategic Leadership and Ethics
FINS3636,Interest Rate Risk Management
PHYS2114,Electromagnetism
SOLA9451,Masters Project A
INFS3873,Business Analytics Methods
ARTS4266,"Puzzles, Planning, and Presentation for Honours in the Social Sciences"
MMAN9452,Masters Project B
LAWS3028,Employment Law
DART1191,Ceramics for Artists
PHCM3005,Global Health Systems
EDST6922,Science Method 1
COMP4336,Mobile Data Networking
INFS4886,Principles of Research Design
INTA4004,Practice of Interior Architecture
AVIG5914,Flying Operations 4
DDES9152,Human- Centred User Experience Methods
MATH2521,Complex Analysis
ECON2209,Business Forecasting
MDIA3005,Promotion for Social Change
ANAT3131,"Functional Anatomy of the Head, Neck and Back"
MANF9543,Computer Aided Design / Computer Aided Manufacture
LAND2121,Introduction to Landscape Architecture
IEST5006,Rethinking Environment: Sociocultural Theory
JURD7682,Global Governance and Social Justice
ZINT2100,Introduction to Cyber- Security: Policy & Operations
OPTM2233,Optical Dispensing
CVEN9820,Computational Structural Mechanics
AVIA4003,Aviation Honours - Full Time
DART1211,Expanded Animation
JURD7441,Law Journal (Issue Editor)
SOLA2540,Applied Photovoltaics
ELEC9772,Project Report B
MTRN2500,Computing for Mechatronic Engineers
BIOM9420,Clinical Laboratory Science
DESN2000,Engineering Design and Professional Practice (BINF)
BENV4000,Research Methods in the Built Environment
FINS3614,Asset Management
COMP9311,Database Systems
MARK5830,Marketing Analytics Project
EDST6705,French Method 1
RISK5003,Risk Decision Analytics
COMM5040,Entrepreneurial Ecosystems
MATS6001,Fundamentals of Materials Processing
MECH9720,Solar Thermal Energy Design
COMM3020,Global Business Practicum
ARTS3124,Collaborative Performance Making
SWCH9012,The Impact of Infections on Reproductive Health
ANAT2341,Embryology
JURD7150,Principles of Private Law
HDAT9500,Health Data Analytics: Machine Learning I
CHEM4516,Chemistry Honours 16 UoC
EDST6725,Mathematics Method 1
COMM2244,Future of Work Project
ELEC3145,Real Time Instrumentation
ZGEN2240,Introduction to Military Ethics
MUSC2905,Advanced Musical Literacies
ECON7002,Macroeconomic Theory I
ZEIT8302,Project Administration
FINS5547,Cryptocurrency and Decentralised Finance
MDIA1092,Working with Data
TABL2741,Business Entities
LAWS8175,Foundations of Contract Law
LAWS8181,International Human Rights
BIOS3221,Assembling the Tree of Life
ARTS2243,Waste and Society
MGMT3001,Business and Corporate Strategy
MARK3303,Industry Placement 3
OPTM6413,Anterior Eye Therapeutics
ARTS3218,Japanese History: Modern Miracles and Mythologies
ACCT4897,Seminar in Research Methodology
AGSM9162,Decarbonisation and Transition to Clean Energy (Virtual Weekly)
INFS5705,Artificial Intelligence for Business Analytics in Practice
ZPEM1301,Mathematics 1A
MATH2621,Higher Complex Analysis
PSYC7241,Clinical Neuropsychology 2: Lifespan
ZGEN2215,"Law, Force and Legitimacy"
LAWS8845,Women and Gender Law ILS Pune
ARTS2242,The Politics of Climate Change
MATH3711,Higher Algebra
MODL5104,Specialised Translation
ELEC4123,Electrical Design Proficiency
LAWS3331,Legal Theory
PSYC7223,Professional and Ethical Practice (Clinical) 1
ARTS1121,Performance and Popular Culture
TABL5509,Tax Controversy
ARTS2285,"The Holocaust: Origins, Implementation, Aftermath"
ARTS2272,"The European World, 1500-1800"
GENS1112,Genetics and Society
ARTS3330,Languages Capstone: Translation and Interpreting
ACCT3995,Fraud Examination Fundamentals
COMP4962,Computer Science Thesis B
ZEIT8271,Project Report - Decision Analytics Full-Time
DART2331,Data Aesthetics
INFS5987,Theoretical Foundations of Information Systems
AVIA1111,Aeronautical Knowledge
MATH5335,Computational Mathematics for Finance
BIOC3271,Molecular Cell Biology 2
COMP4963,Computer Science Thesis C
LAWS3102,Advanced Criminal Law
DART1151,Performance Art
SAHT9311,Curatorial Studio: Social Space
INTA4000,Interior Architecture Practice Studio 4
EDST2044,Motivation in Learning and Teaching
DDES3100,Design Project Research
MATH3611,Higher Analysis
MINE9100,Mining Design Practice
ARTS3125,Experiments in Performance and Media
BIOS2031,Biology of Invertebrates
SAHT9204,Histories of Contemporary Art
LAWS8972,Law of the World Trade Organisation
ARTS1241,Environmental Advocacy and Activism
EDST6746,Economics Method 2
ZEIT8245,Systems Thinking and Modelling Project
COMP9334,Capacity Planning of Computer Systems and Networks
JURD7613,Indigenous Peoples in International Law
DART3130,Photography 3: Advanced Practice
SRAP5101,Research Methods and Project Design
LAWS8180,Principles of International Law
ZBUS8306,Sustaining Capability (Capability and Technology Management College)
MARK3081,Distribution Strategy and Retail Channels
MUSC1802,Music Craft 2
MFAC1501,: Foundations
PSYC2081,Learning and Physiological Psychology
ECON7202,Policy Evaluation Methods
HDAT9100,Context of Health Data Science
BIOS1301,"Ecology, Sustainability and Environmental Science"
DART2220,Visual Effects 2
MNGT5587,"Extension Research Project (Full-time, Extension)"
ACCT5938,CPA Global Strategy and Leadership
JURD7294,"The Inhouse Counsel – Law, Skills and Practice"
AGSM9271,Approaches to Change (WEB Weekly)
MATS6007,Sustainable Materials Engineering
ARTS2661,Korean 4
ZEIT3215,Signals and Systems
MATH6781,Biomathematics
MGMT3724,Strategic Human Resource Management
HDAT9200,Statistical Foundations for Health Data Science
AVIA5020,Aviation Research Project
INFS4854,Information Systems Strategy and Management
ZINT2501,Engineering Materials and Chemistry
ECON2403,Empirical Methods
ZEIT2501,Mechanical and Electronic Design
LAWS8256,Transforming Environmental Law: Exploring Legal Rights of Nature
EDST6723,Extension English Method 1
PLTX1040,Values in Practice
CHEM3071,"The Chemistry of Catalysis, Systems and Biology"
ARTS1032,The Literature Laboratory: Writing Beyond Limits
VISN5513,"Orientation and Mobility Foundations: Disability, Diversity and Inclusion"
ACTL2102,Foundations of Actuarial Models
GENL1021,World Religions
EDST6785,"Personal Development, Health and Physical Education (K-6)"
LAWS8391,International Law of Equality and Discrimination
AGSM9712,Negotiation Skills (Virtual Weekly)
EDST6719,Legal Studies Method 1
ARCH7216,Designing Diversity: Architecture and Urbanism in a Multicultural Context
JURD7539,Law and Society in Asia
LAWS3144,Animal Law
DART1240,Sound 1
ZEIT8310,Project Schedule and Budget Control
EDST5803,Developing Effective Programs for Gifted Students
JURD7502,Land and Environment Court Clinic
CRIM3015,State Crime and Human Rights
JURD7564,UNSW Law Journal (Executive Editor)
ECON5310,Development Economics
EDST6757,Music Method 2
CVEN4951,Research Thesis A
DART3330,Art and Climate
FADA2020,Design Collaboration Studio 2
MARK5811,Applied Marketing Research
ARTS3025,The Art of Nonfiction
MNGT5234,"Data Analytics and Decision- making (Full-time, Session 2,  Kensington)"
EDST2032,Critical Issues in Education
LAWS8345,CIBEL Elective (Tsinghua)
EDST5112,Learning: Psychological and Social Perspectives
DART1201,Digital Studio 2
CODE3100,Digital Collaboration Studio
PSYC1025,Psychology of Work
COMP4953,Research Thesis C
ADAD4100,Honours Professional Experience Program
ARTS3631,Japanese 6
VISN1111,Geometrical and Physical Optics
CONS0025,"Infrastructure Planning, Procurement and Finance"
ARTS1660,Korean 1
FINS3647,Bitcoin and Decentralised Finance
OPTM8513,Clinical Ocular Therapy 5A
MGMT3721,Negotiation Skills
ARTS2035,American Literature: Past and Present
BINF3010,Applied Bioinformatics
COMD5004,Climate Change Adaptation & Development
MGMT3101,International Business Strategy
ARTS2908,Sex and Power in Early Modern China and Japan
SOMS3001,School of Biomedical Sciences Research Internship
JURD7546,Law and Technology: Comparative Perspectives (UNSW/ UZH)
EDST6951,Modern History Method 2
MMAN9451,Masters Project A
SRAP5021,"Policy, Advocacy and Activism in the Digital Age"
BEIL0014,Digital Making
TABL5580,Contemporary Issues in Taxation
MMAN4410,Finite Element Methods
JURD7193,"State Crime, the Law and Civil Society"
FINS5538,"Takeovers, Restructuring and Corporate Governance"
NEUR4411,Behavioural Perspectives in Neuroscience
MERE2002,Seismic Imaging
OPTM7117,Ocular Therapy 2
COMP6080,Web Front-End Programming
LAWS8225,Dispute Resolution in China
EDST6734,English as an Additional Language or Dialect Method 2
ELEC4951,Research Thesis A
ZEIT3500,Engineering Structures
BIOS6723,River Basin Ecosystem Management
ZEIT8296,Project Report - Systems Engineering Part Time
MATS4007,Engineered Surfaces to Resist Corrosion and Wear
LING5024,The Sound System of English
LAWS3589,Class Actions and Mega- Litigation
MGMT5710,Managing and Leading People
COMM1900,Organisations in Their Environment
SOCW3009,Ethics and Reflective Practice
MARK2012,Marketing Fundamentals
MINE3430,Mining Systems
IDES4100,Capstone Research
MATS6008,Advanced Functional Materials
ACCT2542,Corporate Financial Reporting and Analysis
PHYS1116,Astrophysics
FINS3630,Bank Financial Management
MMAN3400,Mechanics of Solids 2
FOOD3010,Food Products and Ingredients Technology
SCIF1111,Perspectives in Medical Science
ELEC9453,Masters Project C
FINS3641,Security Analysis and Valuation
PHCM9471,Comparative Health Care Systems
LAWS8294,"The Inhouse Counsel – Law, Skills and Practice"
MUSC1604,Western Music: a Panorama
PTRL5019,Fundamentals of Reservoir Engineering A
PHYS1160,Introduction to Astronomy
CHEM1011,"Chemistry 1A: Atoms, Molecules and Energy"
MMAN4952,Research Thesis B
ARTS3574,"Fantasy, Love, and Violence in Spanish and Latin American Cinema"
AVIA2910,Air Transport: Economics and the Environment
ANAT2521,Forensic Anthropology: Principles and Practices
DDES1044,Drawing for Design
ZEIT2504,Mechanics of Solids
ACCT3563,Issues in Financial Reporting and Analysis
PHCM9612,Environmental Health
EDST6752,Society and Culture Method 2
ZBUS8210,Critical Analysis in Business
ECON5306,Politics and Economics
EDST5138,"Inclusive Education: Policy, Planning and Pedagogy"
MDIA1002,Journalistic Voices and Values
ARTS3639,Japan in Popular Culture
DART1230,Moving Image 1
ZPEM1304,Engineering Mathematics 1B
EDST5441,Advanced TESOL Curriculum Design and Assessment
LAND2271,Landscape Design and Documentation 1
INTA2003,Interior Architecture Technics 3
AVIA2117,Instrument Rating
ARTS3054,"Coming of Age: Youth, Education, Narrative"
ARTS2692,Syntax
ZEIT8032,Information Assurance Principles
PHCM9785,Predictive Modelling in Public Health
ACCT5949,Managing Agile Organisations
COMP6713,Natural Language Processing
BLDG2021,High Rise Building Construction
MATH3101,Computational Mathematics for Science and Engineering
PLAN4002,Plan Making Studio
MGMT2010,Innovation and Entrepreneurship
MUSC2804,Music at the Edge
ECON4103,Advanced Macroeconomic Analysis
LAWS8052,Human Rights Internship Program
JURD7344,Electronic Commerce Law
EDST5806,Creativity and Giftedness
COMP9315,Database Systems Implementation
EXPT2168,Exercise Assessment and Testing
ARTS1630,Japanese 1
ARTS2062,Australian Cinema
COMP3601,Design Project A
COMP9511,Human Computer Interaction
ACCT5930,Financial Accounting
SOSS3006,Social Sciences in the Workplace
MATH3831,Statistical Methods in Social and Market Research
CEIC8204,Entrepreneurship and the Innovation Cycle
SOCW4016,Social Work Honours Advanced Practice Portfolio
ZEIT8280,Project - Project Management F/T
PHCM9391,"Health Organisations, Strategy and Change"
ARTS1060,Introduction to Film Studies
PSYC4073,Psychology Honours Research Project 12 Units of Credit
FINS5523,Alternative Asset Classes
BABS2202,Molecular Cell Biology 1
DDES1110,3D Visualisation 1: 3D Virtual Objects
DDES2100,Design and Industry
EDST5129,Transitions in the Lives of Students with Disabilities
ACCT3610,Business Analysis and Valuation
PPEC1001,"Introduction to Politics, Philosophy and Economics"
EDST5308,Teacher Learning
ZEIT1802,Aircraft Systems for Aviators
EDST6749,Legal Studies Method 2
ZBUS3103,Human Resource Management
ARTS3818,Global Environmental Politics
ARCH7218,Urban Climate Change - Mitigation and Adaptation in the Urban Built Environment
LAWS1055,Legal Research and Writing
BIOM9332,Biocompatibility
EDST1120,Foundations of Literacy in Education
ZBUS3102,Project Management
MARK5816,Services Marketing Management
LAWS8086,Law of the Sea
BENV7020,Research Design
INFS4801,Thesis B
EDST6953,Physics Method 2
PLAN7145,City Building - Infrastructure Planning
ZPEM3404,Ocean Waves and Modelling
BLDG4504,Thesis
ZHSS8220,Fighting the Second World War
ZZCA9208,Management and Leadership Capstone Project
ZPEM1302,Mathematics 1B
LAWS3326,Theories of Law and Justice
CHEM3199,Chemistry Work Placement 1
ARTS3292,Migrants and Refugees in Australia and the World
PTRL5003,Well Pressure Testing
LAND1351,Landscape Performance and Management
SENG2991,Software Workplace Practice 1
PHCM9701,Health Leadership and Workforce Management
ZZCA9205,Cyber Operations
SWCH9019,Research Project in Reproductive or Women's Health
ARTS2486,The French Speaking World
DART4301,Art Theory Honours Research Project
ARTS1010,The Life of Words
FINS3666,Trading and Market Making
AERO4110,Aerospace Design 2
DDES1150,Interaction 1: Principles and Practices
UDES0006,Case Studies in Urban Development and Design
DDES2131,Experience 3: Spaces for Performance
ELEC4617,Power System Protection
ACCT5996,Management Accounting and Business Analysis
EDST6927,Chemistry/ Biology Method 1
ARTS3780,"Contemporary Germany: History, Politics, Society"
MATH2099,Mathematics 2B
ECON1401,Economic Perspectives
ZBUS2101,Business Law
LAWS3392,Children and the Law
EDST6924,Earth and Environmental Science Method 1
BLDG4024,Business Intelligence & Data Analytics
INFS5922,Contemporary Practices in Cybersecurity Management
ARTS1540,Modern Greek 1
SENG3994,Software Work Practice 3
COMM5202,Social and Environmental Sustainability
INST1005,Key Debates in International Studies
COMP9992,Research Project B
POLS5120,Global Politics: The Globalisation of World Politics
ARCH7111,Architectural Design Studio 1
GEOS2181,Earth Materials
BEES1041,Exploring the Natural World
ATSI3003,Indigenous Cultural Heritage and the Environment
MANF9544,Concurrent Product and Process Design
SOLA5056,Sustainable Energy for Developing Countries
ARTS3870,"Social Perspectives, Critical Questions"
MDIA2093,Social Media
JURD7581,Advanced Statutory Interpretation
ZPEM3532,Advanced Topics in Physics and Oceanography
FOOD8801,Unit Operations in Food Processing
PHCM9132,Applied Research Methods for Public Health
FINS5548,Financial Technology
AVIA2501,Airline Marketing Strategies
LAWS3332,Law and Social Theory
BABS3061,Medical Biotechnology
MATH5525,Special Topics in Pure Mathematics B
MARK2071,International and Global Marketing
PHCM3010,Environmental Health
MDIA2091,Mobile Cultures
MUSC1805,BA Music Craft 2
LAWS3022,Competition Law
BEIL0009,Exhibition Design: Transforming Temporary Space
PHCM2002,Biostatistics
PLAN4005,Planning Thesis: Dissertation
TABL3757,Corporate Tax Strategy
POLS5127,China and Asia-Pacific Security
JURD7491,Family Law
COMP9801,Extended Algorithm Design and Analysis
LAWS3139,Law and Society in Asia
DART2252,Emerging Technologies Studio
SAHT9312,Curatorial Studio: Site and Situation
GEOS3281,Applied Geochemistry
ARTS1031,Reading Through Time
MATH3051,Applied Real and Functional Analysis
EDST5142,Education in Context
MDIA3090,"Media Interventions, Activism and Advocacy"
ENTR9003,Startup Placement
COMP2041,Software Construction: Techniques and Tools
ZEIT1501,Engineering Practice and Design
ARTS2631,Japanese 4
FINS3648,"Banking, Finance and Technology"
BIOM9561,Mechanical Properties of Biomaterials
EDST5320,Individual Differences and Education
BIOS6671,Biodiversity and Conservation of Natural Resources
AVIA2601,Aviation Operations Research
ARTS3751,"Global Development: Theory, Practice and Reflexivity"
TABL5505,Advanced Taxation of Trusts
PHCM9628,Health Impact Assessment
MATS4002,Design and Advanced Ceramics
LAWS3442,The Will of the People
PSYC3361,Psychology Research Internship
PSYC7423,Assessment in Forensic Psychology
ZEIT3607,Transport Planning and Engineering
COMM5601,Interdisciplinary Applications of Analytics Techniques
ARTS2031,Australian Literature
MODL5107,Translation Technology
PLAN7147,Planning Techniques & Analysis
ARTS2034,Shakespearean Drama
ARTS1271,History of the Present: The World since
ARTS1062,"Hollywood Film: Industry, Technology, Aesthetics"
GENL0250,"Sport, Law and Society in Australia"
MFIN6201,Empirical Techniques and Applications in Finance
LAND7152,Landscape Theory and Practice: Urban Ecology and Landscape Design
COMM2222,Industry Experience Program
RISK5001,Fundamentals of Risk and Risk Management
MATH5201,Dynamical Systems and Chaos
ECON3104,International Macroeconomics
LAWS2820,Law and Social Theory
BINF9010,Applied Bioinformatics
PHCM3004,Women's and Children's Health
BIOC2181,Fundamentals of Biochemistry
SOLA5050,Renewable Energy Policy
SOCW2009,"Social Work Counselling with Individuals, Families and Groups"
ZEIT3190,Computing and Cyber Security Research 3A
PSYC5112,Introduction to Psychology
ECON7307,Health Economics
FOOD4450,Advanced Food Processing
LAWS8028,Corporate Governance
MANF6860,Strategic Manufacturing Management
ECON5210,Reflections on Practicum through the Economist’s Lens
MUSC2903,Music Craft 6
INTA2000,Interior Architecture Practice Studio 2
CEIC4951,Research Thesis A
MNGT5272,"Managing People and Organisations (Full-time, Session 2, Kensington)"
GMAT2550,Surveying Computations B
ECON5111,Economics of Strategy
ARTS3456,Classical Chinese Literature
ARTS2211,East Asia
BLDG3012,"Risk, Health & Safety Management"
CEIC8341,Membrane Processes
LAWS8030,"Cybercrime, Information Security and Digital Enforcement"
PTRL6009,Well Drilling Equipment and Operations
ARTS3850,Security in Asia: Politics Meets Economics
DDES1200,Design History and Theory 1
PLAN1001,Introduction to Planning
COMM1120,Collaboration and Innovation in Business
ZEIT8205,Fundamentals of Surveillance Technologies
